iter	RMSE
0	1.371585488
1	1.248752798
2	1.15754815
3	1.110814488
4	1.052784771
5	1.015577383
6	0.9614480986
7	0.9273218842
8	0.8964765563
9	0.8790444845
10	0.8708257261
11	0.8637537409
12	0.8540196518
13	0.8171966775
14	0.7996903258
15	0.7656104707
16	0.7464890965
17	0.7248933644
18	0.7217055326
19	0.7120938874
20	0.6804802809
21	0.6710347725
22	0.6541360274
23	0.6430009189
24	0.6208432768
25	0.6143823199
26	0.6067703259
27	0.596020916
28	0.5884647739
29	0.5839061654
30	0.5768889427
31	0.5642137071
32	0.5632613782
33	0.5591800524
34	0.5502860025
35	0.5389741814
36	0.5283283675
37	0.5204161195
38	0.5122252654
39	0.498582628
40	0.4880479733
41	0.4827889485
42	0.479722431
43	0.4795232471
44	0.4725382195
45	0.4631061407
46	0.462928175
47	0.4534792099
48	0.4478166046
49	0.4407696086
50	0.4391895293
51	0.4377301961
52	0.4328236203
53	0.4244454086
54	0.4179959417
55	0.4164960881
56	0.4118831246
57	0.4030072613
58	0.3980603447
59	0.3947115832
60	0.3935793704
61	0.3916186002
62	0.3864949227
63	0.3786078498
64	0.3756444792
65	0.3691597803
66	0.3686450972
67	0.3680863761
68	0.3673618547
69	0.3609954783
70	0.3590239759
71	0.3540648525
72	0.3503366217
73	0.3454986511
74	0.3436613763
75	0.3429984949
76	0.3399959308
77	0.3377330857
78	0.336877879
79	0.3355385261
80	0.3326076279
81	0.3294725307
82	0.3264301578
83	0.3237455029
84	0.3231174627
85	0.3228891945
86	0.3192898283
87	0.3169775417
88	0.3164373538
89	0.31339848
90	0.3120002894
91	0.3083802244
92	0.303156105
93	0.3027941592
94	0.3014868998
95	0.2993951847
96	0.2967258795
97	0.296594605
98	0.295166229
99	0.2935775672
