iter	Passed	Remaining
0	12	1200
1	24	1188
2	36	1172
3	45	1093
4	57	1099
5	68	1065
6	77	1030
7	89	1026
8	101	1024
9	110	994
10	120	977
11	130	953
12	140	941
13	150	922
14	158	897
15	169	890
16	180	878
17	192	878
18	204	870
19	212	848
20	223	840
21	233	828
22	244	818
23	253	801
24	263	791
25	272	774
26	282	763
27	292	751
28	301	738
29	309	721
30	317	707
31	326	692
32	335	681
33	347	674
34	357	663
35	366	651
36	376	641
37	385	629
38	394	616
39	403	605
40	414	596
41	424	585
42	434	575
43	441	562
44	450	550
45	460	541
46	467	526
47	476	515
48	485	505
49	496	496
50	505	485
51	514	474
52	522	463
53	533	454
54	544	445
55	553	434
56	566	427
57	576	417
58	586	407
59	597	398
60	605	387
61	615	376
62	625	367
63	637	358
64	647	348
65	657	338
66	666	328
67	680	320
68	696	313
69	706	302
70	718	293
71	726	282
72	737	272
73	749	263
74	755	251
75	767	242
76	778	232
77	791	223
78	802	213
79	813	203
80	821	192
81	831	182
82	840	172
83	853	162
84	863	152
85	872	141
86	884	132
87	893	121
88	905	111
89	915	101
90	924	91
91	937	81
92	947	71
93	955	60
94	965	50
95	973	40
96	984	30
97	993	20
98	1004	10
99	1017	0
